reg_array,field_array,reg_name,field_name,bits,addr,type,rst_val,attr,description
,,DESC,module_type,7:0,0,ro,0,,
,,DESC,module_subtype,15:8,0,ro,0,,
,,DESC,major_rev,19:16,0,ro,0,,
,,DESC,minor_rev,23:20,0,ro,0,,
,,PWR_EN,pwr_en,0:0,4,rw,'0,::locked[pwr_en_key==8'hAB],
,,PWR_EN,pwr_en_key,31:24,4,rw,'0,::key,
,,RST_CTRL,rst,0:0,8,rw,'0,::locked[rst_key==8'hAB],
,,RST_CTRL,rst_sts_clr,1:1,8,rw_pulse,'0,::locked[rst_key==8'hAB],
,,RST_CTRL,rst_key,31:24,8,rw,'0,::key,
,,RST_STS,rst_sts,0:0,12,ro,'0,,
,,DBG_CTRL,stop_on_halt,0:0,16,rw,'0,,
,,DBG_CTRL,soft_stop,1:1,16,rw,'0,,
,,CLK_CTRL,clk_en,0:0,20,rw,'0,,
,,CLK_CTRL,clk_div,3:1,20,rw,0,,
,,CLK_SEL,clk_sel,1:0,24,rw_me,'0,,
,,INTR_EVENT,trig_to_dma_flag,0:0,28,rw_w1c,'0,,
,,INTR_EVENT,ov_flag,1:1,28,rw_w1c,'0,,
,,INTR_EVENT,seq_ov_flow,2:2,28,rw_w1c,'0,,
,,INTR_EVENT,wc_in_flag,3:3,28,rw_w1c,'0,,
,,INTR_EVENT,wc_high_flag,4:4,28,rw_w1c,'0,,
,,INTR_EVENT,wc_low_flag,5:5,28,rw_w1c,'0,,
,,INTR_EVENT,dma_done,6:6,28,rw_w1c,'0,,
,,INTR_EVENT,uf_flag,7:7,28,rw_w1c,'0,,
,,INTR_EVENT,result0_flag,8:8,28,rw_w1c,'0,,
,,INTR_EVENT,result1_flag,9:9,28,rw_w1c,'0,,
,,INTR_EVENT,result2_flag,10:10,28,rw_w1c,'0,,
,,INTR_EVENT,result3_flag,11:11,28,rw_w1c,'0,,
,,INTR_EVENT,result4_flag,12:12,28,rw_w1c,'0,,
,,INTR_EVENT,result5_flag,13:13,28,rw_w1c,'0,,
,,INTR_EVENT,result6_flag,14:14,28,rw_w1c,'0,,
,,INTR_EVENT,result7_flag,15:15,28,rw_w1c,'0,,
,,INTR_EVENT,result8_flag,16:16,28,rw_w1c,'0,,
,,INTR_EVENT,result9_flag,17:17,28,rw_w1c,'0,,
,,INTR_EVENT,result10_flag,18:18,28,rw_w1c,'0,,
,,INTR_EVENT,result11_flag,19:19,28,rw_w1c,'0,,
,,INTR_EVENT,result12_flag,20:20,28,rw_w1c,'0,,
,,INTR_EVENT,result13_flag,21:21,28,rw_w1c,'0,,
,,INTR_EVENT,result14_flag,22:22,28,rw_w1c,'0,,
,,INTR_EVENT,result15_flag,23:23,28,rw_w1c,'0,,
,,INTR_EN_0,trig_to_dma_flag_en,0:0,32,rw_me,'0,,
,,INTR_EN_0,ov_flag_en,1:1,32,rw_me,'0,,
,,INTR_EN_0,seq_ov_flow_en,2:2,32,rw_me,'0,,
,,INTR_EN_0,wc_in_flag_en,3:3,32,rw_me,'0,,
,,INTR_EN_0,wc_high_flag_en,4:4,32,rw_me,'0,,
,,INTR_EN_0,wc_low_flag_en,5:5,32,rw_me,'0,,
,,INTR_EN_0,dma_done_en,6:6,32,rw_me,'0,,
,,INTR_EN_0,uf_flag_en,7:7,32,rw_me,'0,,
,,INTR_EN_0,result0_flag_en,8:8,32,rw_me,'0,,
,,INTR_EN_0,result1_flag_en,9:9,32,rw_me,'0,,
,,INTR_EN_0,result2_flag_en,10:10,32,rw_me,'0,,
,,INTR_EN_0,result3_flag_en,11:11,32,rw_me,'0,,
,,INTR_EN_0,result4_flag_en,12:12,32,rw_me,'0,,
,,INTR_EN_0,result5_flag_en,13:13,32,rw_me,'0,,
,,INTR_EN_0,result6_flag_en,14:14,32,rw_me,'0,,
