reg_array,field_array,reg_name,field_name,bits,addr,type,rst_val,attr,description
,,DESC,module_type,7:0,0,ro,'0,,
,,DESC,modue_subtype,15:8,0,ro,'0,,
,,DESC,major_rev,19:16,0,ro,'0,,
,,DESC,minor_rev,23:20,0,ro,'0,,
,,PWR_EN,pwr_en,0:0,4,rw,'0,::locked[pwr_en_key==8'h69],
,,PWR_EN,pwr_en_key,31:24,4,rw,'0,::key,
,,RST_CTRL,rst,0:0,8,rw,'0,::locked[rst_key==8'h69],
,,RST_CTRL,rst_sts_clr,1:1,8,rw_pulse,'0,::locked[rst_key==8'h69],
,,RST_CTRL,rst_key,31:24,8,rw,'0,::key,
,,RST_STS,rst_sts,0:0,12,ro,'0,,
,,CLK_CTRL,clk_en,0:0,16,rw,'0,,
25_reg_array_start,,GEN_PUB_0,gen_pub_chan_id,3:0,20,rw,'0,,0: Disconnect; 1-15: 15 channels
25_reg_array_body,,GEN_PUB_1,gen_pub_chan_id,3:0,24,rw,'0,,0: Disconnect; 1-15: 15 channels
25_reg_array_body,,GEN_PUB_2,gen_pub_chan_id,3:0,28,rw,'0,,0: Disconnect; 1-15: 15 channels
25_reg_array_body,,GEN_PUB_3,gen_pub_chan_id,3:0,32,rw,'0,,0: Disconnect; 1-15: 15 channels
25_reg_array_body,,GEN_PUB_4,gen_pub_chan_id,3:0,36,rw,'0,,0: Disconnect; 1-15: 15 channels
25_reg_array_body,,GEN_PUB_5,gen_pub_chan_id,3:0,40,rw,'0,,0: Disconnect; 1-15: 15 channels
25_reg_array_body,,GEN_PUB_6,gen_pub_chan_id,3:0,44,rw,'0,,0: Disconnect; 1-15: 15 channels
25_reg_array_body,,GEN_PUB_7,gen_pub_chan_id,3:0,48,rw,'0,,0: Disconnect; 1-15: 15 channels
25_reg_array_body,,GEN_PUB_8,gen_pub_chan_id,3:0,52,rw,'0,,0: Disconnect; 1-15: 15 channels
25_reg_array_body,,GEN_PUB_9,gen_pub_chan_id,3:0,56,rw,'0,,0: Disconnect; 1-15: 15 channels
25_reg_array_body,,GEN_PUB_10,gen_pub_chan_id,3:0,60,rw,'0,,0: Disconnect; 1-15: 15 channels
25_reg_array_body,,GEN_PUB_11,gen_pub_chan_id,3:0,64,rw,'0,,0: Disconnect; 1-15: 15 channels
25_reg_array_body,,GEN_PUB_12,gen_pub_chan_id,3:0,68,rw,'0,,0: Disconnect; 1-15: 15 channels
25_reg_array_body,,GEN_PUB_13,gen_pub_chan_id,3:0,72,rw,'0,,0: Disconnect; 1-15: 15 channels
25_reg_array_body,,GEN_PUB_14,gen_pub_chan_id,3:0,76,rw,'0,,0: Disconnect; 1-15: 15 channels
25_reg_array_body,,GEN_PUB_15,gen_pub_chan_id,3:0,80,rw,'0,,0: Disconnect; 1-15: 15 channels
25_reg_array_body,,GEN_PUB_16,gen_pub_chan_id,3:0,84,rw,'0,,0: Disconnect; 1-15: 15 channels
25_reg_array_body,,GEN_PUB_17,gen_pub_chan_id,3:0,88,rw,'0,,0: Disconnect; 1-15: 15 channels
25_reg_array_body,,GEN_PUB_18,gen_pub_chan_id,3:0,92,rw,'0,,0: Disconnect; 1-15: 15 channels
25_reg_array_body,,GEN_PUB_19,gen_pub_chan_id,3:0,96,rw,'0,,0: Disconnect; 1-15: 15 channels
25_reg_array_body,,GEN_PUB_20,gen_pub_chan_id,3:0,100,rw,'0,,0: Disconnect; 1-15: 15 channels
25_reg_array_body,,GEN_PUB_21,gen_pub_chan_id,3:0,104,rw,'0,,0: Disconnect; 1-15: 15 channels
25_reg_array_body,,GEN_PUB_22,gen_pub_chan_id,3:0,108,rw,'0,,0: Disconnect; 1-15: 15 channels
