reg_array,field_array,reg_name,field_name,bits,addr,type,rst_val,attr,description
,,DESC,module_type,7:0,0,ro,'0,,
,,DESC,modue_subtype,15:8,0,ro,'0,,
,,DESC,major_rev,19:16,0,ro,'0,,
,,DESC,minor_rev,23:20,0,ro,'0,,
,,PWR_EN,pwr_en,0:0,4,rw,'0,::locked[pwr_en_key==8'hAB],
,,PWR_EN,pwr_en_key,31:24,4,rw,'0,::key,
,,RST_CTRL,rst,0:0,8,rw,'0,::locked[rst_key==8'hAB],
,,RST_CTRL,rst_sts_clr,1:1,8,rw_pulse,'0,::locked[rst_key==8'hAB],
,,RST_CTRL,rst_key,31:24,8,rw,'0,::key,
,,RST_STS,rst_sts,0:0,12,ro,'0,,
,,CTRL0,enable,0:0,16,rw,'0,,
,,CTRL0,bcs_en,8:8,16,rw,'0,,
,,CTRL0,rri_en,16:16,16,rw,'0,,
,,CTRL0,out_en,24:24,16,rw,'0,,
,,GAIN_CTRL0,gain,3:0,20,rw,'0,,
,,GAIN_CTRL0,gbw,8:8,20,rw,'0,,
,,GAIN_CTRL0,chop_en,16:16,20,rw,'0,,
,,GAIN_CTRL0,chop_mode,24:24,20,rw,'0,,
,,INPUT_CTRL0,in_p_sel,3:0,24,rw,'0,,
,,INPUT_CTRL0,in_n_sel,7:4,24,rw,'0,,
,,INPUT_CTRL0,in_m_sel,11:8,24,rw,'0,,
,,SPARE_CTRL,cfg0,7:0,28,rw,'0,,
,,SPARE_CTRL,cfg1,15:8,28,rw,'0,,
,,SPARE_STS,sts0,7:0,32,ro,'0,,
,,SPARE_STS,sts1,15:8,32,ro,'0,,
