reg_array,field_array,reg_name,field_name,bits,addr,type,rst_val,attr,description
,,DESC,module_type,7:0,0,ro,'0,,
,,DESC,modue_subtype,15:8,0,ro,'0,,
,,DESC,major_rev,19:16,0,ro,'0,,
,,DESC,minor_rev,23:20,0,ro,'0,,
,,PWR_EN,pwr_en,0:0,4,rw,'0,::locked[pwr_en_key==8'hAB],
,,PWR_EN,pwr_en_key,31:24,4,rw,'0,::key,
,,RST_CTRL,rst,0:0,8,rw,'0,::locked[rst_key==8'hAB],
,,RST_CTRL,rst_sts_clr,1:1,8,rw_pulse,'0,::locked[rst_key==8'hAB],
,,RST_CTRL,rst_key,31:24,8,rw,'0,::key,
,,RST_STS,rst_sts,0:0,12,ro,'0,,
,,CLK_CTRL,en_async_clk_req,0:0,16,rw,'0,,
,,INTR_STS,intr_first,7:0,20,ro,'0,,
,,INTR_EVENT,intr0,0:0,24,rw_w1c,'0,,
,,INTR_EVENT,intr1,1:1,24,rw_w1c,'0,,
,,INTR_EVENT,intr2,2:2,24,rw_w1c,'0,,
,,INTR_EVENT,intr3,3:3,24,rw_w1c,'0,,
,,INTR_EVENT,intr4,4:4,24,rw_w1c,'0,,
,,INTR_EVENT,intr5,5:5,24,rw_w1c,'0,,
,,INTR_EVENT,intr6,6:6,24,rw_w1c,'0,,
,,INTR_EVENT,intr7,7:7,24,rw_w1c,'0,,
,,INTR_EVENT,intr8,8:8,24,rw_w1c,'0,,
,,INTR_EVENT,intr9,9:9,24,rw_w1c,'0,,
,,INTR_EVENT,intr10,10:10,24,rw_w1c,'0,,
,,INTR_EVENT,intr11,11:11,24,rw_w1c,'0,,
,,INTR_EVENT,intr12,12:12,24,rw_w1c,'0,,
,,INTR_EVENT,intr13,13:13,24,rw_w1c,'0,,
,,INTR_EVENT,intr14,14:14,24,rw_w1c,'0,,
,,INTR_EVENT,intr15,15:15,24,rw_w1c,'0,,
,,INTR_EVENT,intr16,16:16,24,rw_w1c,'0,,
,,INTR_EVENT,intr17,17:17,24,rw_w1c,'0,,
,,INTR_EVENT,intr18,18:18,24,rw_w1c,'0,,
,,INTR_EVENT,intr19,19:19,24,rw_w1c,'0,,
,,INTR_EVENT,intr20,20:20,24,rw_w1c,'0,,
,,INTR_EVENT,intr21,21:21,24,rw_w1c,'0,,
,,INTR_EVENT,intr22,22:22,24,rw_w1c,'0,,
,,INTR_EVENT,intr23,23:23,24,rw_w1c,'0,,
,,INTR_EVENT,intr24,24:24,24,rw_w1c,'0,,
,,INTR_EVENT,intr25,25:25,24,rw_w1c,'0,,
,,INTR_EVENT,intr26,26:26,24,rw_w1c,'0,,
,,INTR_EVENT,intr27,27:27,24,rw_w1c,'0,,
,,INTR_EVENT,intr28,28:28,24,rw_w1c,'0,,
,,INTR_EVENT,intr29,29:29,24,rw_w1c,'0,,
,,INTR_EVENT,intr30,30:30,24,rw_w1c,'0,,
,,INTR_EVENT,intr31,31:31,24,rw_w1c,'0,,
,,INTR_EN0,intr0_en,0:0,28,rw_me,'0,,
,,INTR_EN0,intr1_en,1:1,28,rw_me,'0,,
,,INTR_EN0,intr2_en,2:2,28,rw_me,'0,,
,,INTR_EN0,intr3_en,3:3,28,rw_me,'0,,
,,INTR_EN0,intr4_en,4:4,28,rw_me,'0,,
,,INTR_EN0,intr5_en,5:5,28,rw_me,'0,,
,,INTR_EN0,intr6_en,6:6,28,rw_me,'0,,
,,INTR_EN0,intr7_en,7:7,28,rw_me,'0,,
,,INTR_EN0,intr8_en,8:8,28,rw_me,'0,,
,,INTR_EN0,intr9_en,9:9,28,rw_me,'0,,
,,INTR_EN0,intr10_en,10:10,28,rw_me,'0,,
