reg_array,field_array,reg_name,field_name,bits,addr,type,rst_val,attr,description
,,DESC,module_type,7:0,0,ro,'0,,
,,DESC,modue_subtype,15:8,0,ro,'0,,
,,DESC,major_rev,19:16,0,ro,'0,,
,,DESC,minor_rev,23:20,0,ro,'0,,
,,PWR_EN,pwr_en,0:0,4,rw,'0,::locked[pwr_en_key==8'hAB],
,,PWR_EN,pwr_en_key,31:24,4,rw,'0,::key,
,,RST_CTRL,rst,0:0,8,rw,'0,::locked[rst_key==8'hAB],
,,RST_CTRL,rst_sts_clr,1:1,8,rw_pulse,'0,::locked[rst_key==8'hAB],
,,RST_CTRL,rst_key,31:24,8,rw,'0,::key,
,,RST_STS,rst_sts,0:0,12,ro,'0,,
,,CLK_CTRL,en_async_clk_req,0:0,16,rw,'0,,
,,INTR_STS,intr_first,7:0,20,ro,'0,,
,,INTR_EVENT,comp_out_edge0,0:0,24,rw_w1c,'0,,
,,INTR_EVENT,comp_out_edge1,1:1,24,rw_w1c,'0,,
,,INTR_EVENT,comp_out,2:2,24,rw_w1c,'0,,
,,INTR_EN,comp_out_edge0_en,0:0,28,rw_me,'0,,
,,INTR_EN,comp_out_edge1_en,1:1,28,rw_me,'0,,
,,INTR_EN,comp_out_en,2:2,28,rw_me,'0,,
,,INTR_NMI_EN,comp_out_edge0_nmi_en,0:0,32,rw_me,'0,,
,,INTR_NMI_EN,comp_out_edge1_nmi_en,1:1,32,rw_me,'0,,
,,INTR_NMI_EN,comp_out_nmi_en,2:2,32,rw_me,'0,,
,,EVENT_EN,comp_out_edge0_event_en,0:0,36,rw_me,'0,,
,,EVENT_EN,comp_out_edge1_event_en,1:1,36,rw_me,'0,,
,,EVENT_EN,comp_out_event_en,2:2,36,rw_me,'0,,
,,INTR_SW_SET,comp_out_edge0_sw_set,0:0,40,rw_pulse,'0,,
,,INTR_SW_SET,comp_out_edge1_sw_set,1:1,40,rw_pulse,'0,,
,,INTR_SW_SET,comp_out_sw_set,2:2,40,rw_pulse,'0,,
,,STS,comp_out_sts,0:0,44,ro,'0,,
,,CTRL0,enable,0:0,48,rw,'0,,
,,CTRL0,speed,8:8,48,rw,'0,,
,,CTRL0,hyst,17:16,48,rw,'0,,
,,CTRL0,intr_edge_sel,24:24,48,rw,'0,,
,,INPUT_CTRL0,in_p_en,0:0,52,rw,'0,,
,,INPUT_CTRL0,in_p_sel,10:8,52,rw,'0,,
,,INPUT_CTRL0,in_m_en,16:16,52,rw,'0,,
,,INPUT_CTRL0,in_m_sel,26:24,52,rw,'0,,
,,INPUT_CTRL1,in_short,0:0,56,rw,'0,,
,,INPUT_CTRL1,in_swap,8:8,56,rw,'0,,
,,OUT_CTRL0,out_pol,0:0,60,rw,'0,,
,,OUT_CTRL0,samp_en,8:8,60,rw,'0,,
,,OUT_CTRL0,filt_en,16:16,60,rw,'0,,
,,OUT_CTRL0,filt_delay,25:24,60,rw,'0,,
,,OUT_CTRL1,win_comp_en,0:0,64,rw,'0,,
,,OUT_CTRL1,win_comp_sel,9:8,64,rw,'0,,
,,OUT_CTRL1,blank_en,16:16,64,rw,'0,,
,,OUT_CTRL1,blank_src,26:24,64,rw,'0,,
,,REF_CTRL0,ref_sel,0:0,68,rw,'0,,
,,REF_CTRL0,ref_src,8:8,68,rw,'0,,
,,REF_CTRL0,ref_mode,16:16,68,rw,'0,,
,,REF_CTRL1,dac_code0,7:0,72,rw,'0,,
,,REF_CTRL1,dac_code1,15:8,72,rw,'0,,
,,REF_CTRL1,dac_mode,16:16,72,rw,'0,,
,,REF_CTRL1,dac_code_sel,24:24,72,rw,'0,,
,,SPARE_CTRL,cfg0,7:0,76,rw,'0,,
,,SPARE_CTRL,cfg1,15:8,76,rw,'0,,
,,SPARE_STS,sts0,7:0,80,ro,'0,,
,,SPARE_STS,sts1,15:8,80,ro,'0,,
